claim_id,capsule_id,statement,claim_type,criticality,population,curricular_context,transcription,curricular_alignment,clinical_validity,self_review_l1,independent_review,reviewer_id,reviewed_at,evidence_json,notes
claim:nr.good-vitality,capsule:eisca:assistencia_rn_sala_parto_reanimacao_neonatal,Boa vitalidade é respiração/choro e tônus flexor; idade gestacional seleciona o algoritmo.,other,high,recém-nascidos >=34 semanas,Material curricular baseado em SBP 2016 usa três perguntas.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""algoritmo inicial"",""source_version_id"":""source-version:sbp.prn.rn34.2026-06-12""}]",L2 por agente independente; não equivale a revisão humana.
claim:nr.vpp,capsule:eisca:assistencia_rn_sala_parto_reanimacao_neonatal,VPP se apneia/respiração irregular ou FC <100 após passos iniciais; 30–60/min.,treatment_sequence,high,recém-nascidos >=34 semanas,Material antigo informa 40–60/min.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""VPP"",""source_version_id"":""source-version:sbp.prn.rn34.2026-06-12""}]",L2 por agente independente; não equivale a revisão humana.
claim:nr.oxygen,capsule:eisca:assistencia_rn_sala_parto_reanimacao_neonatal,O2 inicial 21% em RN >=34 semanas; RN <34 segue algoritmo específico.,concentration,high,recém-nascidos,Material usa 30% de modo amplo para prematuros.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""oxigênio na VPP"",""source_version_id"":""source-version:sbp.prn.rn34.2026-06-12""}]",L2 por agente independente; não equivale a revisão humana.
claim:nr.compressions-epinephrine,capsule:eisca:assistencia_rn_sala_parto_reanimacao_neonatal,Compressão se FC <60 após ventilação efetiva; adrenalina após 60 s de V+C se persistir.,treatment_sequence,high,recém-nascidos >=34 semanas,Algoritmo curricular de reanimação.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""compressões e adrenalina"",""source_version_id"":""source-version:sbp.prn.rn34.2026-06-12""}]",L2 por agente independente; não equivale a revisão humana.
claim:se.threshold,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,Tratar crise tônico-clônica contínua aos 5 minutos.,threshold,high,adultos e crianças >1 ano,Slide 2024 de anticonvulsivantes.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Early SE"",""source_version_id"":""source-version:ilae.status-pocket.2026""}]",L2 por agente independente; não equivale a revisão humana.
claim:se.benzodiazepine,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,Benzodiazepínico é fase inicial e pode ser repetido uma vez em 5–10 min.,dose,high,adultos e crianças >1 ano,Slide usa diazepam como degrau obrigatório.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Early SE"",""source_version_id"":""source-version:ilae.status-pocket.2026""}]",L2 por agente independente; não equivale a revisão humana.
claim:se.second-line,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,"Segunda linha inclui levetiracetam, valproato e fosfenitoína/fenitoína, não fila universal.",treatment_sequence,high,adultos e crianças,Slide ensina fenitoína→fenobarbital.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Established SE"",""source_version_id"":""source-version:ilae.status-pocket.2026""}]",L2 por agente independente; não equivale a revisão humana.
claim:se.fosphenytoin-ilae,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,O pocket card ILAE 2026 lista fosfenitoína 30 mg PE/kg no estado estabelecido.,dose,high,adultos e crianças no contexto do pocket card ILAE 2026,Dose é específica da fonte/protocolo ILAE.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Established SE"",""source_version_id"":""source-version:ilae.status-pocket.2026""}]","Não combinar com o regime ESETT; L2 por agente, não humano."
claim:se.fosphenytoin-esett,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,O ensaio ESETT testou fosfenitoína 20 mg PE/kg como regime do estudo.,dose,high,participantes elegíveis do ESETT,Regime específico do ensaio ESETT.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Methods"",""source_version_id"":""source-version:esett.2019""}]","Não combinar com o pocket card ILAE; L2 por agente, não humano."
claim:se.refractory,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,"Refratário requer UTI, via aérea conforme necessidade e EEG contínuo; sem anestésico universal.",emergency,high,adultos e crianças,Slide ensina fila fixa.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Refractory SE"",""source_version_id"":""source-version:ilae.status-pocket.2026""}]",L2 por agente independente; não equivale a revisão humana.
